"data_i","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6519,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-10,21,-35,-50,-17,6,47.35,37.98,248933,42642
7058,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-13,20,-37,-51,-16,6,46.7,36.11,305925,50453
9276,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-18,20,-42,-53,-16,8,49.41,38.27,330371,69537
9326,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-21,17,-50,-55,-1,7,46.21,38.27,83072,10212
9539,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-20,19,-45,-57,-7,7,43.24,36.76,87809,12216
8656,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-16,18,-37,-55,-19,7,39.3,33.1,297542,41438
8685,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-19,15,-37,-57,-21,8,39.13,32.49,289175,33313
9317,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-19,14,-39,-57,-21,9,38.33,32.4,275216,27820
9186,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-19,15,-40,-56,-20,9,38.56,32.32,261015,28053
9692,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-20,18,-41,-58,-20,10,42.94,34.82,273223,34481
10082,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-23,15,-49,-58,-2,7,42.96,35.59,82854,10419
11397,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-23,16,-43,-60,-8,7,40.06,33.1,69667,5167
11784,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-18,17,-39,-56,-20,8,37.81,31.01,217419,31229
11305,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-22,15,-40,-58,-24,10,36.56,31.25,225061,32815
13002,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-23,12,-40,-60,-25,10,37.08,29.79,246287,33289
13655,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-25,9,-42,-60,-24,11,37.58,30.1,266314,37929
14575,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-27,14,-46,-62,-24,12,40.7,32.5,304244,48635
14260,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-33,5,-56,-65,-21,12,38.52,31.61,117421,10605
15335,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,-33,6,-50,-67,-18,11,38.24,31.33,80943,9991
15376,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,-23,12,-42,-65,-43,15,38.87,31.52,122137,16755
14150,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,-23,13,-41,-61,-29,11,39.78,31.69,284387,43002
16533,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,-26,8,-42,-69,-57,19,38.11,30.97,144258,20012
17669,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,-26,8,-44,-61,-24,11,39.03,30.89,366663,53485
17345,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,-28,11,-47,-62,-24,13,41.82,32.9,414946,65209
18912,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,-29,12,-53,-62,-7,9,40.23,32.11,162737,31605
18027,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-28,15,-47,-63,-13,9,39.17,31.26,152171,28381
17970,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-23,14,-42,-60,-24,10,37.83,30.23,252390,79909
18901,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-25,11,-44,-61,-27,11,36.88,30.15,297446,95146
20200,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-26,8,-43,-61,-27,11,37.52,30.06,17725,2560
20920,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-28,6,-45,-61,-26,12,37.34,30.58,690855,193300
21379,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-30,8,-46,-63,-26,13,41.77,33.24,471493,117578
21838,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-31,6,-52,-62,-9,10,41.31,34.32,133996,32262
19983,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-32,6,-48,-65,-14,9,39.32,32.11,169370,26651
19603,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-26,7,-43,-61,-25,10,38.33,31.08,347344,101808
19843,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-26,9,-42,-60,-27,11,39.03,31.25,360514,127880
21038,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-28,4,-44,-61,-28,11,40.69,31.39,361902,132662
22782,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-24,11,-41,-67,-58,18,39.7,31.6,210244,30566
23418,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-32,2,-48,-64,-28,14,41.85,32.23,429076,178183
22086,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-34,0,-55,-64,-11,11,40.63,32.22,197103,42269
21882,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-35,1,-51,-65,-15,10,38.75,31.07,104744,31456
21157,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-27,7,-44,-60,-26,11,38.45,30.24,374435,117422
20128,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-26,8,-43,-60,-28,11,39.53,31.1,359680,156079
20515,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-27,5,-43,-60,-27,11,40.15,31.13,421953,124088
20902,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-29,2,-45,-61,-27,11,40.51,31.28,454597,207163
19851,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-30,5,-47,-62,-26,13,44.49,33.66,490611,249899
20571,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-31,5,-53,-62,-11,9,43.57,33.88,228069,67667
19014,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-35,-1,-48,-66,-15,9,41.09,31.62,137120,38276
17491,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-27,4,-43,-61,-25,10,40.05,32.04,393996,164521
17165,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-27,4,-44,-61,-27,10,39.96,31.2,427752,184526
18417,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-27,3,-44,-60,-27,11,41.12,33.04,479504,198159
18501,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-28,2,-45,-60,-27,11,41.49,32.05,432604,285407
18702,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-31,4,-49,-62,-26,13,46.9,34.99,463113,333419
17984,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-31,3,-53,-62,-10,10,47.66,35.97,242833,81426
16536,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-30,4,-47,-63,-15,9,44.97,34.11,200055,47163
15972,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-25,6,-43,-58,-24,10,41.92,32.76,350064,448327
14666,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,-23,10,-44,-57,-25,10,42.64,32.77,356488,402351
9225,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,-17,11,-42,-54,-24,9,44.95,34.32,402044,558884
20533,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,-16,11,-42,-54,-24,9,48.28,36.05,388121,435737
14653,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,-18,11,-44,-56,-23,10,58.62,42.2,294913,528775
15942,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,-19,7,-47,-55,-7,7,60.33,44.08,186156,208478
15452,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,-16,12,-39,-57,-12,6,53.3,40.21,140751,165879
