"Date","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C3_Cancel.public.events.1","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","H1_Public.information.campaigns","ConfirmedCases","ConfirmedDeaths","Cases_daily","Deaths_daily","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","driving","walking","daily_vaccinations","first_dose","second_dose","third_dose","total_doses","vax1","vax2","BKK.bus","Reg.bus","Personal.car","BKK.train","Reg.train","BKK.airport","Reg.airport","infected","death","retail","gro","parks","trans","work","res","dr","wlk","vax_1","vax_2","bus_bkk1","bus_inter_reg","trainbkk","trainreg","bkk_airp","reg_airp","car"
2021-06-25,2,1,2,2,4,1,1,1,3,1,236291,1819,3644,44,-14,11,-37,-50,-16,5,73.65,53.23,324055,6435308,2546170,0,8981478,228955,95100,544022,25066,2078132,471928,20786,10974,10987,-1.38912338230164,-1.04511006303724,1.05258641613425,0.0396984323147361,0.935099213555071,1.33492068565013,0.352763898399484,-1.00264378122973,2.76638806682618,2.60667350231933,-0.143867837592654,0.0178161796248707,1.5903390363065,1.82938070411878,1.83092722562985,2.30139724097289,2.5676539523156,2.42668028858969,1.99485380217374
2021-06-26,2,1,2,2,4,1,1,1,3,1,240452,1870,4161,51,-14,9,-42,-50,-2,3,75.58,55.55,73663,6475826,2579315,0,9055141,40518,33145,447075,21812,1842177,316761,15570,7864,7581,-1.31186923233586,-0.96287574586696,1.05258641613425,-0.277889026203153,0.0487492481000271,1.33492068565013,1.73421692709676,-1.56160895543446,2.96095830598708,2.96096714803233,-1.56709226823169,-0.559568856747443,0.630739693195462,1.45168593209515,0.434644743216906,1.11734172680153,1.61470626880097,1.4227694699786,1.11450325434244
2021-06-27,2,1,2,2,4,1,1,1,3,1,244447,1912,3995,42,-14,9,-36,-52,-7,3,60.99,45.39,92372,6537851,2609662,0,9147513,62025,30347,372055,22386,1619098,252468,16362,9714,11907,-1.33667423986839,-1.06860558222874,1.05258641613425,-0.277889026203153,1.11236920664608,0.979534147041108,1.24084084541916,-1.56160895543446,1.49008794880702,1.40940532025472,-1.40465448886907,-0.585644610629612,-0.111822146987213,1.51831063988297,-0.143900885955374,1.29712929720485,2.18157225417141,2.69784821375769,0.282193195815771
2021-06-28,2,1,2,2,4,1,1,1,3,1,249853,1934,5406,22,-18,6,-38,-52,-17,5,52.24,39.63,268919,6721038,2695394,0,9416432,183187,85732,519094,22312,1923774,440818,17654,6949,8152,-1.12583167584188,-1.30356077414382,0.518786648839545,-0.754270213979987,0.757829220464062,0.979534147041108,0.254088682063964,-1.00264378122973,0.60796898888067,0.529779717105215,-0.489543770352607,-0.0694882029227177,1.34359708013383,1.50972139184064,1.55098143800834,1.59041912165067,1.33433741657721,1.59107043222961,1.41894250611244
2021-06-29,2,1,2,2,4,1,1,1,3,1,254515,1970,4662,36,-18,6,-38,-53,-19,5,51.42,40.14,256274,6910169,2762537,0,9672706,189131,67143,519426,20806,1822197,428149,15833,5072,6055,-1.23700592646961,-1.13909213980326,0.518786648839545,-0.754270213979987,0.757829220464062,0.801840877736599,0.0567382493929239,-1.00264378122973,0.525301840636143,0.607663234050744,-0.444650007367002,-0.242727012399353,1.34688327756039,1.33491858708724,1.43697844272139,1.17704391242789,0.759198251960822,0.972984411493425,1.03995766749041
2021-06-30,2,1,2,2,4,1,1,1,3,1,259301,2023,4786,53,-15,13,-38,-51,-19,4,50.97,39.97,254992,7110854,2816844,0,9927698,200685,54307,546310,20588,1873645,447149,15593,6994,7549,-1.21847688469832,-0.939380226675452,0.919136474310577,0.357285890832625,0.757829220464062,1.15722741634562,0.0567382493929239,-1.2821263683321,0.479935722697073,0.581702061735568,-0.357385112088456,-0.362351164233346,1.61298608363171,1.3096151266382,1.60795144062588,1.12256283048749,1.34812604865379,1.41333754214667,1.2319106881292
2021-07-01,2,1,2,2,4,1,1,1,3,1,264834,2080,5533,57,-9,23,-35,-48,-16,4,51.76,39.94,299485,7364585,2862598,0,10227183,253731,45754,549137,19426,1923601,432009,15343,6791,6332,-1.10685435080193,-0.892389188292438,1.71983612525264,1.94522318342207,1.28963919973709,1.69030722425915,0.352763898399484,-1.2821263683321,0.559578463078995,0.577120678385831,0.0432600008547462,-0.44206021461011,1.64096825268259,1.17474071818969,1.47171295703251,1.06581170346624,1.28592399728611,1.05462953678857,1.41829704132138
2021-07-02,2,1,2,2,4,1,1,1,3,1,270921,2141,6087,61,-11,26,-36,-50,-15,5,60,44.93,345109,7640118,2932174,0,10572292,275533,69576,542588,22395,1931529,430182,16771,7927,7368,-1.02407137385602,-0.845398149909423,1.45293624160529,2.4216043711989,1.11236920664608,1.33492068565013,0.451439114735004,-1.00264378122973,1.39028248934107,1.33915744222542,0.207925852236334,-0.220052848998597,1.57614503898815,1.51935527815839,1.45527255349717,1.38997414101162,1.63401035370818,1.35998820034732,1.4478764913996
2021-07-03,2,1,2,2,4,1,1,1,3,1,277151,2182,6230,41,-11,25,-42,-50,1,3,61.39,46.19,98605,7721150,2949747,0,10670897,81032,17573,432771,19464,1649828,266873,12573,6017,5746,-1.00270320471655,-1.0803533418245,1.45293624160529,2.26281064193996,0.0487492481000271,1.33492068565013,2.03024257610332,-1.56160895543446,1.53041338697508,1.53157554291438,-1.2610986757689,-0.704690958053063,0.489156054672761,1.17915141313035,-0.0142763578072604,0.437009216070785,1.04875952556897,0.881907358366347,0.396847143962053
2021-07-04,2,1,2,2,4,1,1,1,3,1,283067,2226,5916,44,-10,25,-35,-52,-5,4,59.8,47.33,106851,7804654,2973094,0,10777748,83504,23347,358433,20176,1398656,206350,12323,6981,8351,-1.04962352016965,-1.04511006303724,1.58638618342896,2.26281064193996,1.28963919973709,0.979534147041108,1.4381912780902,-1.2821263683321,1.37011977025704,1.70566811020438,-1.24242818752859,-0.650880592464915,-0.246655223326434,1.26179390780792,-0.558897344763755,0.380258089049535,1.34414266605389,1.64972523343443,-0.540278188410154
