"data_i","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8656,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-16,18,-37,-55,-19,7,39.3,33.1,297542,41438,409359,13993,293722,10951,2533,2562,1525235
8685,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-19,15,-37,-57,-21,8,39.13,32.49,289175,33313,397469,10181,266044,9615,1809,1745,1473921
9317,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-19,14,-39,-57,-21,9,38.33,32.4,275216,27820,391926,10015,267376,9317,2333,1906,1467706
9186,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-19,15,-40,-56,-20,9,38.56,32.32,261015,28053,401567,9424,274109,9304,1795,1888,1486614
9692,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-20,18,-41,-58,-20,10,42.94,34.82,273223,34481,399077,9801,274461,9599,2387,2567,1546249
10082,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-23,15,-49,-58,-2,7,42.96,35.59,82854,10419,314822,9121,159177,6918,1650,1673,1295276
11397,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-23,16,-43,-60,-8,7,40.06,33.1,69667,5167,259939,8059,123562,6664,2967,3141,1044306
11784,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-18,17,-39,-56,-20,8,37.81,31.01,217419,31229,405518,9264,276526,9564,1992,2242,1517743
11305,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-22,15,-40,-58,-24,10,36.56,31.25,225061,32815,371261,8498,241001,8908,2927,2927,1484244
13002,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-23,12,-40,-60,-25,10,37.08,29.79,246287,33289,355104,2066,232168,7945,2,110,1382041
13655,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-25,9,-42,-60,-24,11,37.58,30.1,266314,37929,353382,920,224525,8135,0,81,1399249
14575,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-27,14,-46,-62,-24,12,40.7,32.5,304244,48635,342721,1534,231598,8679,2,111,1505101
14260,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-33,5,-56,-65,-21,12,38.52,31.61,117421,10605,233330,1197,117362,5900,5,95,1227890
15335,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,-33,6,-50,-67,-18,11,38.24,31.33,80943,9991,209073,870,93103,5350,1,98,991998
15376,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,-23,12,-42,-65,-43,15,38.87,31.52,122137,16755,257658,980,140237,6046,1,122,1202658
14150,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,-23,13,-41,-61,-29,11,39.78,31.69,284387,43002,331948,1033,223155,7444,2,98,1440424
16533,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,-26,8,-42,-69,-57,19,38.11,30.97,144258,20012,213896,871,103704,5479,5,325,1136665
17669,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,-26,8,-44,-61,-24,11,39.03,30.89,366663,53485,342573,1054,231122,7811,0,55,1484579
17345,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,-28,11,-47,-62,-24,13,41.82,32.9,414946,65209,348148,1046,235216,8179,10,170,1541537
18912,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,-29,12,-53,-62,-7,9,40.23,32.11,162737,31605,268403,954,132064,6105,0,24,1271731
18027,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-28,15,-47,-63,-13,9,39.17,31.26,152171,28381,231221,838,100588,6343,3,387,1037063
17970,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-23,14,-42,-60,-24,10,37.83,30.23,252390,79909,363297,1070,243831,9116,6,300,1511331
18901,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-25,11,-44,-61,-27,11,36.88,30.15,297446,95146,356111,1243,231584,8247,8,58,1377477
20200,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-26,8,-43,-61,-27,11,37.52,30.06,17725,2560,348404,2012,227799,7568,8,128,1433215
20920,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-28,6,-45,-61,-26,12,37.34,30.58,690855,193300,350668,2360,223844,7558,8,184,1433037
21379,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-30,8,-46,-63,-26,13,41.77,33.24,471493,117578,354588,2492,228487,7802,3,37,1486593
21838,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-31,6,-52,-62,-9,10,41.31,34.32,133996,32262,257625,2209,143216,6098,2,59,1276650
19983,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-32,6,-48,-65,-14,9,39.32,32.11,169370,26651,224964,2173,105397,5585,0,112,1011641
19603,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-26,7,-43,-61,-25,10,38.33,31.08,347344,101808,354626,2589,239879,8086,1,28,1485506
19843,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-26,9,-42,-60,-27,11,39.03,31.25,360514,127880,356796,2401,240637,7891,1,98,1457383
21038,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-28,4,-44,-61,-28,11,40.69,31.39,361902,132662,348080,2441,243401,8148,9,3,1543143
22782,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-24,11,-41,-67,-58,18,39.7,31.6,210244,30566,215806,2075,113452,5589,3,154,1220696
