"data_i","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3000,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-10,16,-33,-48,-15,4,186164,83468,536769,20694,450152,19150,4249,4953,1960153
2331,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-11,14,-35,-49,-16,4,166528,56439,526875,20615,450817,18123,7464,7553,1890323
3129,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-11,13,-34,-49,-16,4,137776,78109,531832,20552,453186,18878,5795,5687,1870890
3058,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-14,12,-36,-51,-15,5,181588,81827,546002,24711,474253,20633,10218,10518,2077441
3667,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-14,10,-41,-51,0,2,51973,52122,433960,21385,319600,15826,6999,6741,1884687
3682,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-13,10,-34,-52,-7,3,39947,51932,385370,23381,249729,17181,9122,11396,1662859
3175,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-12,11,-33,-49,-17,3,152809,74830,547602,22796,471503,20536,6673,7696,2041223
4059,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-13,10,-34,-50,-18,3,165673,75966,547429,21841,461393,18904,5471,6000,1911081
3174,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-13,8,-35,-50,-18,4,172903,79082,551279,21167,462976,18064,7662,7869,1946675
4108,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-14,7,-35,-49,-17,4,188929,68174,542903,21570,464079,17859,6486,6398,1945198
3644,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,-14,11,-37,-50,-16,5,228955,95100,544022,25066,471928,20786,10974,10987,2078132
